Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
16.62890625,1064,4182.0512695312,4155.384765625,4111.2822265625,4175.2563476562,4158.205078125,4161.9228515625,4170.384765625,4177.8203125,4176.794921875,4173.3334960938,4174.7436523438,4169.4873046875,4175.384765625,4167.1796875,,,
9.71484375,621,4179.3588867188,4210.5126953125,3914.2307128906,4188.7177734375,4188.58984375,4158.7177734375,4172.1796875,4180.1284179688,4183.3334960938,4188.58984375,4184.7436523438,4176.2822265625,4156.794921875,4180.7690429688,,,
12.4375,796,4164.1025390625,4196.9228515625,4060.6411132812,4173.7177734375,4155.5126953125,4158.8461914062,4156.9228515625,4202.9487304688,4163.3334960938,4173.8461914062,4152.8203125,4174.2309570312,4176.794921875,4153.205078125,,,
11.4609375,733,4163.9741210938,4196.6665039062,4186.0258789062,4171.0258789062,4159.615234375,4157.0512695312,4157.0512695312,4140.1284179688,4159.615234375,4159.615234375,4148.7177734375,4150.8974609375,4185.384765625,4143.205078125,,,
16.37890625,1048,4163.3334960938,4103.4614257812,4100.0,4154.615234375,4157.3076171875,4157.6923828125,4158.58984375,4168.7177734375,4167.3076171875,4166.5385742188,4166.2822265625,4170.1284179688,4187.8203125,4168.205078125,,,
8.5234375,545,4125.7690429688,4121.6665039062,4160.6411132812,4103.0771484375,4122.5639648438,4154.7436523438,4123.4614257812,4138.205078125,4120.6411132812,4110.7690429688,4094.4870605469,4104.7436523438,4126.41015625,4122.6923828125,,,
10.72265625,686,4181.0258789062,4175.1284179688,4244.7436523438,4188.0771484375,4173.0771484375,4163.0771484375,4185.1284179688,4174.2309570312,4178.3334960938,4180.0,4167.5639648438,4175.1284179688,4199.2309570312,4202.0512695312,,,
13.91796875,890,4098.3334960938,4046.1538085938,4146.2822265625,4025.2563476562,4087.4357910156,4152.0512695312,4093.0769042969,4093.205078125,4098.205078125,4113.8461914062,4190.1284179688,4126.794921875,4093.3332519531,4116.41015625,,,
14.98828125,959,4186.0258789062,4207.1796875,4102.5639648438,4177.6923828125,4189.1025390625,4164.8715820312,4186.0258789062,4193.4614257812,4201.794921875,4192.3076171875,4193.3334960938,4186.5385742188,4218.9741210938,4192.9487304688,,,
11.26953125,721,4166.9228515625,4162.9487304688,4205.0,4119.8715820312,4152.4360351562,4155.2563476562,4169.4873046875,4153.58984375,4157.3076171875,4163.9741210938,4202.8203125,4181.794921875,4184.7436523438,4180.2563476562,,,
13.44140625,860,4148.4614257812,4210.0,4154.8715820312,4137.0512695312,4139.3588867188,4155.8974609375,4130.7690429688,4143.7177734375,4142.3076171875,4148.9741210938,4147.0512695312,4152.5639648438,4137.5639648438,4134.7436523438,,,
15.80078125,1011,4162.5639648438,4113.3334960938,4043.7180175781,4113.3334960938,4156.2822265625,4164.7436523438,4169.8715820312,4185.2563476562,4188.58984375,4187.6923828125,4229.4873046875,4173.3334960938,4155.6411132812,4166.41015625,,,
18.79296875,1202,4130.7690429688,4158.9741210938,4118.4614257812,4136.2822265625,4125.0,4152.5639648438,4108.0771484375,4117.1796875,4112.0512695312,4124.4873046875,4121.41015625,4126.6665039062,4137.3076171875,4123.205078125,,,
14.6640625,938,4170.8974609375,4173.58984375,4220.1284179688,4238.205078125,4170.6411132812,4160.6411132812,4170.384765625,4158.8461914062,4159.2309570312,4147.1796875,4096.0258789062,4159.3588867188,4170.7690429688,4079.7436523438,,,
8.26953125,529,4144.1025390625,4108.3334960938,4174.1025390625,4149.8715820312,4153.58984375,4158.205078125,4139.4873046875,4138.9741210938,4146.6665039062,4147.1796875,4136.6665039062,4149.1025390625,4167.0512695312,4280.0,,,
12.16796875,778,4140.7690429688,4134.615234375,4233.3334960938,4109.2309570312,4108.58984375,4153.0771484375,4105.0,4112.6923828125,4098.9741210938,4110.1284179688,4111.794921875,4113.205078125,4110.8974609375,4118.3334960938,,,
17.70703125,1133,4161.0258789062,4128.8461914062,4120.6411132812,4173.4614257812,4151.1538085938,4158.9741210938,4137.1796875,4136.794921875,4140.384765625,4143.4614257812,4135.2563476562,4142.4360351562,4105.0,4145.0,,,
6.8828125,440,4174.7436523438,4176.6665039062,4203.4614257812,4164.1025390625,4157.1796875,4159.1025390625,4157.0512695312,4158.205078125,4148.3334960938,4156.1538085938,4141.6665039062,4149.4873046875,4138.4614257812,4158.8461914062,,,
0.87890625,56,4158.58984375,4139.3588867188,4198.8461914062,4136.2822265625,4167.4360351562,4166.2822265625,4169.4873046875,4145.5126953125,4160.2563476562,4166.9228515625,4183.4614257812,4162.0512695312,4151.5385742188,4148.205078125,,,
